輔具分類,項次,補助項目,一般戶,中低收,低收,年限,評估人員,補助對象,評估規定,規格或功能規範,其他規定,確認沒問題
溝通及資訊輔具-警示、指示及信號輔具,87,電話閃光震動器,"1,000","1,500","2,000",5,不需評估,第二類：【b230】、【s260】或【02】。(聽覺機能障礙者),不需評估,"(一)電話擴音器(項次 86)：指電話之外接擴音器。

(二)電話閃光震動器(項次 87)：屬於使用電話之附件，包含來電信息之連接單元和信號轉換器，可搭配原有標準型網路電話或行動網路之電話使用，依來電訊號而以閃光或震動方式提供信號指示。

(三)門鈴閃光器(項次 88)：採用有線或無線訊號傳輸方式之視覺閃光信號指示器，可搭配原有門鈴系統裝設，或同時提供專屬門鈴開關裝置，可兼具聲音或震動信號指示功能。

(四)無線震動警示器(項次 89)：採用無線訊號傳輸方式之震動信號指示器，可兼具視覺或聲音信號指示功能，應包含專屬事件信號發送裝置如按鍵開關或聲音偵測器等。

(五)火警閃光警示器(項次 90)：採用有線或無線訊號傳輸方式之環境警示輔具，以閃光方式呈現火災警報，可兼具聲音或震動警示功能。","(一)以共同生活戶為補助單位，每戶各項次(項次 86 至 90)均僅得申請 1台。

(二)申請無線震動警示器(項次 89)，各種電話使用輔具(如電話來電震動器)與各種時鐘及計時器輔具(如震動鬧鐘)非屬本項補助。

(三)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-警示、指示及信號輔具,88,門鈴閃光器,"1,000","1,500","2,000",5,不需評估,第二類：【b230】、【s260】或【02】。(聽覺機能障礙者),不需評估,"(一)電話擴音器(項次 86)：指電話之外接擴音器。

(二)電話閃光震動器(項次 87)：屬於使用電話之附件，包含來電信息之連接單元和信號轉換器，可搭配原有標準型網路電話或行動網路之電話使用，依來電訊號而以閃光或震動方式提供信號指示。

(三)門鈴閃光器(項次 88)：採用有線或無線訊號傳輸方式之視覺閃光信號指示器，可搭配原有門鈴系統裝設，或同時提供專屬門鈴開關裝置，可兼具聲音或震動信號指示功能。

(四)無線震動警示器(項次 89)：採用無線訊號傳輸方式之震動信號指示器，可兼具視覺或聲音信號指示功能，應包含專屬事件信號發送裝置如按鍵開關或聲音偵測器等。

(五)火警閃光警示器(項次 90)：採用有線或無線訊號傳輸方式之環境警示輔具，以閃光方式呈現火災警報，可兼具聲音或震動警示功能。","(一)以共同生活戶為補助單位，每戶各項次(項次 86 至 90)均僅得申請 1台。

(二)申請無線震動警示器(項次 89)，各種電話使用輔具(如電話來電震動器)與各種時鐘及計時器輔具(如震動鬧鐘)非屬本項補助。

(三)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-警示、指示及信號輔具,89,無線震動警示器,"1,000","1,500","2,000",5,不需評估,第二類：【b230】、【s260】或【02】。(聽覺機能障礙者),不需評估,"(一)電話擴音器(項次 86)：指電話之外接擴音器。

(二)電話閃光震動器(項次 87)：屬於使用電話之附件，包含來電信息之連接單元和信號轉換器，可搭配原有標準型網路電話或行動網路之電話使用，依來電訊號而以閃光或震動方式提供信號指示。

(三)門鈴閃光器(項次 88)：採用有線或無線訊號傳輸方式之視覺閃光信號指示器，可搭配原有門鈴系統裝設，或同時提供專屬門鈴開關裝置，可兼具聲音或震動信號指示功能。

(四)無線震動警示器(項次 89)：採用無線訊號傳輸方式之震動信號指示器，可兼具視覺或聲音信號指示功能，應包含專屬事件信號發送裝置如按鍵開關或聲音偵測器等。

(五)火警閃光警示器(項次 90)：採用有線或無線訊號傳輸方式之環境警示輔具，以閃光方式呈現火災警報，可兼具聲音或震動警示功能。","(一)以共同生活戶為補助單位，每戶各項次(項次 86 至 90)均僅得申請 1台。

(二)申請無線震動警示器(項次 89)，各種電話使用輔具(如電話來電震動器)與各種時鐘及計時器輔具(如震動鬧鐘)非屬本項補助。

(三)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-警示、指示及信號輔具,90,火警閃光警示器,"1,000","1,500","2,000",5,不需評估,第二類：【b230】、【s260】或【02】。(聽覺機能障礙者),不需評估,"(一)電話擴音器(項次 86)：指電話之外接擴音器。

(二)電話閃光震動器(項次 87)：屬於使用電話之附件，包含來電信息之連接單元和信號轉換器，可搭配原有標準型網路電話或行動網路之電話使用，依來電訊號而以閃光或震動方式提供信號指示。

(三)門鈴閃光器(項次 88)：採用有線或無線訊號傳輸方式之視覺閃光信號指示器，可搭配原有門鈴系統裝設，或同時提供專屬門鈴開關裝置，可兼具聲音或震動信號指示功能。

(四)無線震動警示器(項次 89)：採用無線訊號傳輸方式之震動信號指示器，可兼具視覺或聲音信號指示功能，應包含專屬事件信號發送裝置如按鍵開關或聲音偵測器等。

(五)火警閃光警示器(項次 90)：採用有線或無線訊號傳輸方式之環境警示輔具，以閃光方式呈現火災警報，可兼具聲音或震動警示功能。","(一)以共同生活戶為補助單位，每戶各項次(項次 86 至 90)均僅得申請 1台。

(二)申請無線震動警示器(項次 89)，各種電話使用輔具(如電話來電震動器)與各種時鐘及計時器輔具(如震動鬧鐘)非屬本項補助。

(三)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-警示、指示及信號輔具,91,個人衛星定位器,"4,500","6,750","9,000",2,甲,"有獨力外出之行動能力者，且有走失之虞並應符合下列條件之一：

(一)第一類：【b110】、【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】。(失智症者)(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】、【b16700】、【b16710】或【11】。(自閉症者)
(ICD 代碼：ICD-9：299.00、299.01。 ICD-10：F84、F84.0。)

(三)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b160】、【b164】、【b16700】、【b16710】、【b16701】、【b16711】或【06】。(智能障礙者) (ICD 代碼：ICD-9：317、318.0、 318.1、318.2、319。ICD-10：F70、 F71、F72、F73、F78、F79。)

(四)第一類：【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【12】。(慢性精神病患者)",經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 11)。,"應符合下列所有規範或功能之2 年服務保用及產品保固：

(一)AGPS 之衛星定位。

(二)地點查詢服務。

(三)電池待機超過 72 小時。

(四)緊急求援功能。",應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。,
溝通及資訊輔具-發聲輔具,92,人工講話器-氣動式,"2,000","2,000","2,000",1,不需評估,第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。(聲音機能或語言機能障礙者),不需評估,無,"(一)人工講話器各項次(項次 92、93)於最低使用年限內僅能擇一申請。

(二)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-發聲輔具,93,人工講話器-電動式,"20,000","20,000","20,000",5,乙,第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。(聲音機能或語言機能障礙者),申請人工講話器-電動式 (項次93)限經醫師開立註明全喉切除或嚴重呼吸發聲功能障礙，無法透過手術重建改善發聲功能之診斷證明書，並經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號10)。,無,"(一)人工講話器各項次(項次 92、93)於最低使用年限內僅能擇一申請。

(二)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-溝通相關輔具,94,溝通輔具-無語音輸出之圖卡或設備,"2,500","3,750","5,000",4,乙,"經評估使用溝通輔具對促進溝通理解和表達活動有幫助者，且應符合下列條件之一：

(一)第一類：【b110】、【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】。(失智症者)(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、 F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b160】、【b164】、【b16700】、【b16710】、【b16701】、【b16711】或【06】。(智能障礙者) (ICD 代碼：ICD-9：317、318.0、318.1、318.2、319。ICD-10：F70、 F71、F72、F73、F78、F79。)

(三)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】、【b16700】、【b16710】或【11】。(自閉症者)(ICD 代碼：ICD-9：299.00、299.01。 ICD-10：F84、F84.0。)

(四)第一類：【b16700】、【b16710】、【b16701】、【b16711】或【04】；第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。 (聲音機能或語言機能障礙者)

(五)第二類：【b230】、【s260】或【02】。 (聽覺機能障礙者)

(六)因身體功能及構造損傷(含腦性麻痺、腦傷、肌萎縮性脊髓側索硬化症、帕金森氏症、中風)造成言語溝通困難，且影響人際互動及社會參與者。","應符合下列條件之一： 

(一)經相關專科醫師開立診斷證明書及語言治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 12)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 12)。","(一)溝通輔具-無語音輸出之圖卡或設備(項次 94)：本項屬無語音輸出之圖卡，應包括至少 1,000 個溝通符號；或無語音輸出之設備，應包括至少 150 個溝通符號(如縮小物或部分物品、彩色照片、圖片)及所需之操作硬體。

(二)溝通輔具-低階固定版面型語音溝通器(項次 95)：應包括至少 200 個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，並具重複錄音或記憶溝通訊息及放音功能。

(三)溝通輔具-高階固定版面型語音溝通器(項次 96)：應包括至少 500 個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，至少可錄製 160 句語音，並具重複錄音或記憶溝通訊息及放音功能。

(四)溝通輔具-具掃描功能固定版面型語音溝通器(項次 97)：應包括至少500 個溝通符號及所需之操作硬體，除具重複錄音或記憶溝通訊息及放音功能外，另須提供至少 1 種掃描功能及外接的特殊開關。

(五)溝通輔具-電腦使用語音溝通軟體 (項次 98)：可安裝於電腦，支援 Windows 或 Mac OS 系統，軟體應具重複錄放音及動態版面顯示功能，能提供情境溝通、語句溝通及文字溝通模式，並提供至少 1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。

(六)溝通輔具-平板使用語音溝通軟體 (項次 99)：可安裝於平板，軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。

(七)溝通輔具-動態版面型語音溝通器 (項次 100)：本項屬液晶觸控專用型語音溝通器(平板)，其軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少 1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。","(一)15 歲以下符合補助資格者，申請溝通輔具-無語音輸出之圖卡或設備 (項次 94)滿 1 年後，得申請溝通輔具其他項次(項次 95 至 100)；申請溝通輔具-無語音輸出之圖卡或設備、低階固定版面型語音溝通器、高階固定版面型語音溝通器、具掃描功能固定版面型語音溝通器(項次 94 至 97)得 2 年申請補助 1 次。

(二)申請溝通輔具-電腦使用語音溝通軟體、平板使用語音溝通軟體(項次 98、99)者，須具備個人可使用之電腦基本配備(含電腦主機、螢幕、鍵盤)或平板。

(三)依評估結果，溝通輔具-電腦使用語音溝通軟體、平板使用語音溝通軟體、動態版面型語音溝通器(項次 98 至 100)須搭配溝通或電腦輔具用特殊開關(項次 101)同時申請
時，視為補助 1 項次。

(四)依評估結果，溝通輔具各項次(項次 94 至 100)須搭配溝通或電腦輔具用支撐固定器(項次 108)同時申請時，視為補助 1 項次。

(五)溝通輔具各項次(項次 94 至 100)於最低使用年限內僅能擇一申請。

(六)申請溝通輔具-具掃描功能固定版面型語音溝通器、電腦使用語音溝通軟體、平板使用語音溝通軟體、動態版面型語音溝通器(項次97 至 100)時，應於輔具評估報告書中檢附3 個月以上的語言治療溝通訓練計畫或紀錄，以落實配置本項輔具之目的。

(七)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-溝通相關輔具,95,溝通輔具-低階固定版面型語音溝通器,"3,500","5,250","7,000",4,乙,"經評估使用溝通輔具對促進溝通理解和表達活動有幫助者，且應符合下列條件之一：

(一)第一類：【b110】、【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】。(失智症者)(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、 F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b160】、【b164】、【b16700】、【b16710】、【b16701】、【b16711】或【06】。(智能障礙者) (ICD 代碼：ICD-9：317、318.0、318.1、318.2、319。ICD-10：F70、 F71、F72、F73、F78、F79。)

(三)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】、【b16700】、【b16710】或【11】。(自閉症者)(ICD 代碼：ICD-9：299.00、299.01。 ICD-10：F84、F84.0。)

(四)第一類：【b16700】、【b16710】、【b16701】、【b16711】或【04】；第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。 (聲音機能或語言機能障礙者)

(五)第二類：【b230】、【s260】或【02】。 (聽覺機能障礙者)

(六)因身體功能及構造損傷(含腦性麻痺、腦傷、肌萎縮性脊髓側索硬化症、帕金森氏症、中風)造成言語溝通困難，且影響人際互動及社會參與者。","應符合下列條件之一： 

(一)經相關專科醫師開立診斷證明書及語言治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 12)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 12)。","(一)溝通輔具-無語音輸出之圖卡或設備(項次 94)：本項屬無語音輸出之圖卡，應包括至少 1,000 個溝通符號；或無語音輸出之設備，應包括至少 150 個溝通符號(如縮小物或部分物品、彩色照片、圖片)及所需之操作硬體。

(二)溝通輔具-低階固定版面型語音溝通器(項次 95)：應包括至少 200 個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，並具重複錄音或記憶溝通訊息及放音功能。

(三)溝通輔具-高階固定版面型語音溝通器(項次 96)：應包括至少 500 個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，至少可錄製 160 句語音，並具重複錄音或記憶溝通訊息及放音功能。

(四)溝通輔具-具掃描功能固定版面型語音溝通器(項次 97)：應包括至少500 個溝通符號及所需之操作硬體，除具重複錄音或記憶溝通訊息及放音功能外，另須提供至少 1 種掃描功能及外接的特殊開關。

(五)溝通輔具-電腦使用語音溝通軟體 (項次 98)：可安裝於電腦，支援 Windows 或 Mac OS 系統，軟體應具重複錄放音及動態版面顯示功能，能提供情境溝通、語句溝通及文字溝通模式，並提供至少 1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。

(六)溝通輔具-平板使用語音溝通軟體 (項次 99)：可安裝於平板，軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。

(七)溝通輔具-動態版面型語音溝通器 (項次 100)：本項屬液晶觸控專用型語音溝通器(平板)，其軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少 1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。","(一)15 歲以下符合補助資格者，申請溝通輔具-無語音輸出之圖卡或設備 (項次 94)滿 1 年後，得申請溝通輔具其他項次(項次 95 至 100)；申請溝通輔具-無語音輸出之圖卡或設備、低階固定版面型語音溝通器、高階固定版面型語音溝通器、具掃描功能固定版面型語音溝通器(項次 94 至 97)得 2 年申請補助 1 次。

(二)申請溝通輔具-電腦使用語音溝通軟體、平板使用語音溝通軟體(項次 98、99)者，須具備個人可使用之電腦基本配備(含電腦主機、螢幕、鍵盤)或平板。

(三)依評估結果，溝通輔具-電腦使用語音溝通軟體、平板使用語音溝通軟體、動態版面型語音溝通器(項次 98 至 100)須搭配溝通或電腦輔具用特殊開關(項次 101)同時申請
時，視為補助 1 項次。

(四)依評估結果，溝通輔具各項次(項次 94 至 100)須搭配溝通或電腦輔具用支撐固定器(項次 108)同時申請時，視為補助 1 項次。

(五)溝通輔具各項次(項次 94 至 100)於最低使用年限內僅能擇一申請。

(六)申請溝通輔具-具掃描功能固定版面型語音溝通器、電腦使用語音溝通軟體、平板使用語音溝通軟體、動態版面型語音溝通器(項次97 至 100)時，應於輔具評估報告書中檢附3 個月以上的語言治療溝通訓練計畫或紀錄，以落實配置本項輔具之目的。

(七)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
溝通及資訊輔具-溝通相關輔具,96,溝通輔具-高階固定版面型語音溝通器,"5,000","7,500","10,000",4,乙,"經評估使用溝通輔具對促進溝通理解和表達活動有幫助者，且應符合下列條件之一：

(一)第一類：【b110】、【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】或【10】。(失智症者)(ICD 代碼：ICD-9：290.0、290.10、 290.11、290.12、290.13、290.20、290.21、290.3、290.40、290.41、290.42、290.43、290.8、290.9、294.0、294.10、294.11、331.0、331.1。ICD-10：F01.50、F01.51、 F02.80 、F02.81 、F03 、F03.9 、 F03.90、F03.91、F04、F05、G30.0、 G30.1 、G30.8 、G30.9 、G31.0 、 G31.09。)

(二)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b160】、【b164】、【b16700】、【b16710】、【b16701】、【b16711】或【06】。(智能障礙者) (ICD 代碼：ICD-9：317、318.0、318.1、318.2、319。ICD-10：F70、 F71、F72、F73、F78、F79。)

(三)第一類：【b117】、【b122】、【b140】、【b144】、【b147】、【b152】、【b160】、【b164】、【b16700】、【b16710】或【11】。(自閉症者)(ICD 代碼：ICD-9：299.00、299.01。 ICD-10：F84、F84.0。)

(四)第一類：【b16700】、【b16710】、【b16701】、【b16711】或【04】；第三類：【b310】、【b320】、【b330】、【s320】、【s330】、【s340】或【04】。 (聲音機能或語言機能障礙者)

(五)第二類：【b230】、【s260】或【02】。 (聽覺機能障礙者)

(六)因身體功能及構造損傷(含腦性麻痺、腦傷、肌萎縮性脊髓側索硬化症、帕金森氏症、中風)造成言語溝通困難，且影響人際互動及社會參與者。","應符合下列條件之一： 

(一)經相關專科醫師開立診斷證明書及語言治療師出具輔具評估報告書，並於診斷證明書或輔具評估報告書載明本項輔具需求(輔具評估報告書格式編號 12)。

(二)經政府設置或委託辦理之輔具服務單位輔具評估人員(含該單位特約之輔具評估人員)開立輔具評估報告書(輔具評估報告書格式編號 12)。","(一)溝通輔具-無語音輸出之圖卡或設備(項次 94)：本項屬無語音輸出之圖卡，應包括至少 1,000 個溝通符號；或無語音輸出之設備，應包括至少 150 個溝通符號(如縮小物或部分物品、彩色照片、圖片)及所需之操作硬體。

(二)溝通輔具-低階固定版面型語音溝通器(項次 95)：應包括至少 200 個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，並具重複錄音或記憶溝通訊息及放音功能。

(三)溝通輔具-高階固定版面型語音溝通器(項次 96)：應包括至少 500 個溝通符號及所需之操作硬體，可依使用者需求自行設計溝通內容，至少可錄製 160 句語音，並具重複錄音或記憶溝通訊息及放音功能。

(四)溝通輔具-具掃描功能固定版面型語音溝通器(項次 97)：應包括至少500 個溝通符號及所需之操作硬體，除具重複錄音或記憶溝通訊息及放音功能外，另須提供至少 1 種掃描功能及外接的特殊開關。

(五)溝通輔具-電腦使用語音溝通軟體 (項次 98)：可安裝於電腦，支援 Windows 或 Mac OS 系統，軟體應具重複錄放音及動態版面顯示功能，能提供情境溝通、語句溝通及文字溝通模式，並提供至少 1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。

(六)溝通輔具-平板使用語音溝通軟體 (項次 99)：可安裝於平板，軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。

(七)溝通輔具-動態版面型語音溝通器 (項次 100)：本項屬液晶觸控專用型語音溝通器(平板)，其軟體應具重複錄放音及動態版面顯示功能，能提供語句溝通及文字溝通模式，並提供至少 1,000 個溝通符號，供溝通版面設計之用，軟體須具掃描功能。","(一)15 歲以下符合補助資格者，申請溝通輔具-無語音輸出之圖卡或設備 (項次 94)滿 1 年後，得申請溝通輔具其他項次(項次 95 至 100)；申請溝通輔具-無語音輸出之圖卡或設備、低階固定版面型語音溝通器、高階固定版面型語音溝通器、具掃描功能固定版面型語音溝通器(項次 94 至 97)得 2 年申請補助 1 次。

(二)申請溝通輔具-電腦使用語音溝通軟體、平板使用語音溝通軟體(項次 98、99)者，須具備個人可使用之電腦基本配備(含電腦主機、螢幕、鍵盤)或平板。

(三)依評估結果，溝通輔具-電腦使用語音溝通軟體、平板使用語音溝通軟體、動態版面型語音溝通器(項次 98 至 100)須搭配溝通或電腦輔具用特殊開關(項次 101)同時申請
時，視為補助 1 項次。

(四)依評估結果，溝通輔具各項次(項次 94 至 100)須搭配溝通或電腦輔具用支撐固定器(項次 108)同時申請時，視為補助 1 項次。

(五)溝通輔具各項次(項次 94 至 100)於最低使用年限內僅能擇一申請。

(六)申請溝通輔具-具掃描功能固定版面型語音溝通器、電腦使用語音溝通軟體、平板使用語音溝通軟體、動態版面型語音溝通器(項次97 至 100)時，應於輔具評估報告書中檢附3 個月以上的語言治療溝通訓練計畫或紀錄，以落實配置本項輔具之目的。

(七)應檢附輔具供應商出具保固書之影本(保固書正本由申請人留存)。保固書並應載明產品規格(含本表所定本項輔具之規格或功能規範內容)、型號、序號、保固年限及起迄日期(含年、月、日)、輔具供應商行號名稱、統一編號、負責人姓名、服務電話及其他必要資訊。",
